service_id,date,exception_type
obralutvia2_invl_26.pex,20260706,2
obralutvia2_ver1l_26.pex,20260706,1
obralutvia2_invl_26.pex,20260708,2
obralutvia2_ver1l_26.pex,20260708,1
obralutvia2_invvlargo_26.pex,20260703,2
obralutvia2_ver1v_26.pex,20260703,1
obralutvia2_invs_26.pex,20260704,2
obralutvia2_ver1s_26.pex,20260704,1
obralutvia2_invs_26.pex,20260711,2
obralutvia2_ver1s_26.pex,20260711,1
obralutvia2_invvlargo_26.pex,20260710,2
obralutvia2_ver1v_26.pex,20260710,1
obralutvia2_invl_26.pex,20260701,2
obralutvia2_ver1l_26.pex,20260701,1
obralutvia2_invl_26.pex,20260702,2
obralutvia2_ver1l_26.pex,20260702,1
obralutvia2_invl_26.pex,20260709,2
obralutvia2_ver1l_26.pex,20260709,1
obralutvia2_invs_26.pex,20260613,2
obralutvia2_invspostvlargo_26.pex,20260613,1
obralutvia2_invl_26.pex,20260707,2
obralutvia2_ver1l_26.pex,20260707,1
obralutvia2_invvlargo_26.pex,20260612,2
iberdrolaobralutvia2_invvlargo_26.pex,20260612,1
obralutvia2_invd_26.pex,20260614,2
becalejandroobralutvia2_invd_26.pex,20260614,1
obralutvia2_invd_26.pex,20260705,2
obralutvia2_ver1d_26.pex,20260705,1
