service_id,date,exception_type
obralutvia2_invl_26.pex,20260706,2
obralutvia2_ver1l_26.pex,20260706,1
obralutvia2_ver1l_26.pex,20260625,2
obralutvia2_invl_26.pex,20260625,1
obralutvia2_ver1v_26.pex,20260619,2
zetakobralutvia2_invvlargo_26.pex,20260619,1
obralutvia2_ver1d_26.pex,20260628,2
obralutvia2_invd_26.pex,20260628,1
obralutvia2_ver1l_26.pex,20260624,2
obralutvia2_invl_26.pex,20260624,1
obralutvia2_invl_26.pex,20260714,2
obralutvia2_ver1l_26.pex,20260714,1
obralutvia2_ver1s_26.pex,20260620,2
ope_zobralutv2_noblancafieleiinvspostvlargo_26.pex,20260620,1
obralutvia2_ver1l_26.pex,20260618,2
obralutvia2_invl_26.pex,20260618,1
obralutvia2_invl_26.pex,20260707,2
obralutvia2_ver1l_26.pex,20260707,1
obralutvia2_ver1d_26.pex,20260621,2
ope_obralutvia2_noblancafieleiinvd_26.pex,20260621,1
obralutvia2_invl_26.pex,20260713,2
obralutvia2_ver1l_26.pex,20260713,1
obralutvia2_ver1v_26.pex,20260626,2
obralutvia2_invvlargo_26.pex,20260626,1
obralutvia2_ver1s_26.pex,20260627,2
obralutvia2_invs_26.pex,20260627,1
